candidate_id,receipts,disbursements,cash_on_hand,individual_contributions,pac_contributions
S6ID00146,448963.88,351349.77,105907.03,435963.88,2500.0
S6MS00109,566184.12,556454.75,9729.37,70184.12,0.0
S6LA00706,85046.7,67983.22,17063.48,79271.7,500.0
S4TX00722,7628921.5,7761104.39,11951.75,6648566.14,26500.0
S6MT00295,924643.51,15686.66,908956.85,355576.11,345000.0
S6SC04239,6519295.74,3880008.35,2639287.39,6456423.25,42705.0
S6IA00314,7267266.37,2679198.52,6516143.25,3969585.99,1737366.77
S6AR00207,41161.53,126.26,754.4,20.0,0.0
S6FL00749,9123.75,6891.33,2232.42,7123.75,0.0
S6MT00261,262094.97,226081.96,36013.01,526.5,0.0
S8MA00268,9869.51,2542.56,7326.95,4453.59,0.0
S6CO00507,31865.5,25745.69,6119.81,31845.5,0.0
S6MT00253,15240.06,5775.0,10625.06,11231.0,0.0
S6KY00286,8348202.0,9643722.06,2397557.58,4776743.43,1603200.0
S6SC04262,216272.42,216272.42,0.0,216172.52,0.0
S6DE00156,22356.0,13165.27,9190.73,9006.0,500.0
S6SD01125,192473.04,185994.34,6478.7,183243.08,3000.0
S6MA00270,40000.0,43984.05,789.69,0.0,0.0
S6TX00560,0.0,0.0,0.0,0.0,0.0
S6SD01117,564715.66,511174.82,53540.84,558063.53,5000.0
S6IL00391,1000.0,906.15,1547.62,0.0,0.0
S0TX00365,9988.18,9657.03,383.2,7638.18,0.0
S6MT00246,26144.0,25616.21,527.79,25602.0,0.0
S6MT00287,1358574.95,213586.76,1144988.19,1332524.95,26050.0
S6KY00385,508683.93,368374.88,140309.05,493683.64,15000.0
S4NJ00185,16808282.46,5829198.17,22171570.28,12629918.79,486530.0
S6IL00656,372718.37,372618.2,100.17,9717.0,0.0
S6CO00408,164777.91,155619.71,9158.2,158107.34,6096.75
S6SC04270,69568.6,20369.01,0.0,69568.6,0.0
S6NC00373,224689.23,225529.84,0.0,211660.12,0.0
S6NH00166,1664338.14,880952.11,783386.03,930183.98,130733.2
S6OH00163,25979968.48,8951326.24,17028642.24,21053052.02,713022.72
S4TX00888,6200.0,5257.79,1010.09,1200.0,0.0
S2SC00145,0.0,0.0,5030.29,0.0,0.0
S6NE00145,4296.0,1872.97,2423.03,4296.0,0.0
S6RI00270,10434.82,9568.62,866.2,8934.82,0.0
S6AL00500,67077.21,58374.3,8702.91,56971.61,0.0
S6IL00565,42028.81,46453.58,0.0,28.81,0.0
S6WY00217,9653.0,8319.97,1822.79,9653.0,0.0
S6ME00316,17759.71,21259.71,-3500.0,17759.71,0.0
S6ME00324,17759.71,21259.71,-3500.0,17759.71,0.0
S6KY00237,2182457.28,1650314.22,532143.06,2179651.39,2000.0
S6TX00545,770.0,7490.84,-429.81,705.0,0.0
S4WV00159,3906185.63,2152797.56,4064753.28,2158207.47,1374256.47
S6IL00490,13471.89,12643.39,828.5,8473.48,0.0
S6IA00249,293966.17,279387.32,14578.85,103031.08,0.0
S6GA00374,6842705.76,8147397.5,1714238.6,2040840.26,1065775.0
S4LA00107,6727955.97,7791705.5,5516668.75,2426053.09,1652409.52
S6CO00556,150000.0,0.0,150000.0,0.0,0.0
S6CO00549,150000.0,0.0,150000.0,0.0,0.0
S6IL00466,202000.0,201972.54,27.46,80000.0,0.0
S6GA00366,50250930.0,2234.41,50248695.59,930.0,0.0
S6GA00390,4533636.24,3474437.3,1656394.03,2907031.02,300100.0
S6ME00159,10463303.65,3038765.01,10000847.54,5959045.69,905050.0
S6MS00133,1619367.76,1059740.86,559626.9,1367121.97,226575.0
S0DE00092,3044649.37,1100177.83,4129671.39,1532745.3,1038750.0
S6NC00407,26822372.69,8366909.64,18455463.05,10689977.85,648235.0
S2TX00106,7234490.25,6434691.52,4922081.39,2921683.55,1146044.16
S4ME00113,143480.66,96332.4,47148.26,28678.25,0.0
S4AR00103,5406039.51,3069823.75,9787085.59,2747248.07,1010500.0
S6MN00499,9290611.68,4395298.62,4895313.06,7242492.33,622834.6
S6LA00680,350000.0,32737.15,655123.91,0.0,0.0
S6TX00552,11092295.26,10459209.13,633086.13,6152063.47,50884.63
S2MT00096,4709051.07,2192226.74,4275067.25,1383655.38,1352050.0
S6VA00184,54994.61,46430.84,8563.77,9563.33,0.0
S6NC00472,2410.17,1780.0,630.17,10.0,0.0
S6SC04296,1011421.12,565237.47,446183.65,330368.44,0.0
S6KS00247,137068.03,77796.18,59271.85,137068.03,0.0
S6LA00615,562282.66,342311.61,219971.05,551536.54,0.0
S6MA00262,16497.8,7308.9,3997.99,12166.72,0.0
S6IL00623,124404.07,100311.38,24092.69,50993.35,0.0
S6MA00304,1400141.01,571567.1,828573.91,320775.19,0.0
S6IL00607,59060.88,55778.58,-19467.2,12360.8,0.0
S6VA00226,5675.01,4000.0,1675.01,175.01,0.0
S6SC04361,14935.0,13125.0,1810.0,3835.0,0.0
S6NM01145,11843.44,8069.46,3773.98,4838.44,0.0
S6GA00408,3874386.08,2187460.11,1686925.97,3858189.05,15499.0
S6AR00173,17461.7,22253.18,1110.62,16960.7,0.0
S6IL00151,79857.6,778171.85,976472.97,32050.68,7000.0
S6VA00192,5697.72,5697.72,0.0,1778.0,0.0
S6MI00418,7646727.83,5117400.65,2529327.18,7572495.77,38825.0
S6LA00581,688875.02,656194.34,32680.68,362375.02,18000.0
S4IA00129,1997585.68,2240263.66,1997164.76,997371.94,637250.0
S6ME00399,6436.72,6436.72,0.0,6436.72,0.0
S6IL00672,1280369.17,1136878.25,143490.92,224338.0,0.0
S6ID00120,7741.0,7650.17,90.83,850.0,0.0
S6VA00143,121987.69,99465.72,22740.55,27483.37,0.0
S6KY00260,61529.95,78371.26,-16841.31,50310.93,1000.0
S6KY00278,61529.95,78371.26,-16841.31,50310.93,1000.0
S8OH00144,1925.24,1900.96,155.94,0.0,0.0
S6ME00357,13599.1,5076.27,8522.83,4928.77,0.0
S6WV00188,22446.53,16891.31,12551.85,14556.13,0.0
S6MN00440,4646309.17,3502299.33,1144009.84,4481745.83,129916.88
S6LA00318,11250353.83,9879985.76,1389264.45,616853.83,7000.0
S6NE00160,1000.0,1000.0,0.0,0.0,0.0
S6KY00328,46938.03,43805.16,3132.87,46271.77,0.0
S6SC04197,42972.0,42639.43,1235.87,13472.0,0.0
S6WV00154,3000.0,1740.0,1260.0,0.0,0.0
S6FL00848,3429.73,129.73,3300.0,3429.73,0.0
S6CO00499,443494.98,329433.96,114061.02,437982.13,5500.0
S6IL00425,28555.42,22855.91,5699.51,20193.42,0.0
S0SC00149,5928622.17,9938630.67,11613608.79,1080475.2,573750.0
S2FL00581,178051.99,178581.66,126388.14,29991.64,5000.0
S6OK04171,22600.36,15373.35,7227.01,19173.5,0.0
S6WY00209,1555542.88,1278925.42,1159580.5,996770.72,277000.0
S0TN00169,5880481.66,2133071.28,5674879.45,3021763.57,1175950.0
S6MN00531,133465.26,133465.26,0.0,133285.92,0.0
S6IL00680,31662.4,7626.64,24035.76,18963.0,0.0
S6KS00304,10741.42,5372.27,5369.15,6922.03,0.0
S6CO00473,20335.73,20335.73,0.0,1082.26,0.0
S6OK04247,8284047.86,67761.21,8216286.65,592563.64,146500.0
S6SC04346,15467.37,3384.1,12083.27,292.37,0.0
S6MI00384,10058.6,10058.6,0.0,10058.6,0.0
S0CO00575,6818283.07,4217907.35,4036008.7,4920780.46,765467.77
