state,party,candidate_id,receipts,disbursements,cash_on_hand,individual_contributions,pac_contributions,name,candidate_status,cook_rating
FL,DEM,S6FL00756,15933478.15,15933478.15,0.0,15463011.3,33908.17,"WEIL, JOSHUA JOSEPH",C,Likely Republican
FL,REP,S6FL00640,8407063.8,1277671.65,7129392.15,2748661.48,1504500.0,"MOODY, ASHLEY",C,Likely Republican
GA,DEM,S8GA00180,60439612.91,32925743.34,32504436.28,53243293.44,835197.49,"OSSOFF, T. JONATHAN",C,Likely Democrat
GA,REP,S6GA00408,4175480.91,2506570.46,1668910.45,4142679.97,30499.0,"DOOLEY, DEREK",C,Likely Democrat
IA,DEM,S6IA00272,3671205.51,2970219.27,700986.24,3585798.1,80530.0,"WAHLS, ZACH P",C,Lean Republican
IA,REP,S6IA00314,8158017.24,4096078.53,5990014.11,4523560.37,1818366.77,"ARENHOLZ, ASHLEY HINSON",C,Lean Republican
ME,DEM,S6ME00373,16312222.26,14131390.66,2180831.6,16109776.14,174684.37,"PLATNER, GRAHAM",C,Toss-up
ME,REP,S6ME00159,12165045.76,5068440.33,9672914.33,7330108.08,985550.0,"COLLINS, SUSAN M.",C,Toss-up
MT,DEM,S6MT00238,289637.83,216464.82,73352.59,160258.08,66.52,"NEILL, REILLY",C,Likely Republican
MT,REP,S2MT00096,4709051.07,2192226.74,4275067.25,1383655.38,1352050.0,"DAINES, STEVE",C,Likely Republican
NC,DEM,S6NC00407,26822372.69,8366909.64,18455463.05,10689977.85,648235.0,"COOPER, ROY",C,Toss-up
NC,REP,S6NC00415,8410251.85,5881909.26,2528342.59,3752923.06,732500.0,"WHATLEY, MICHAEL",C,Toss-up
OH,DEM,S6OH00163,25979968.48,8951326.24,17028642.24,21053052.02,713022.72,"BROWN, SHERROD",C,Lean Democrat
OH,REP,S6OH00304,10527814.39,2360331.93,8167482.46,4296470.44,1755385.0,"HUSTED, JON",C,Lean Democrat
TX,DEM,S6TX00479,40284109.15,30425243.8,9858865.35,40089299.87,180158.24,"TALARICO, JAMES",C,Lean Democrat
TX,REP,S6TX00388,7605209.32,5257745.82,2347463.5,7578124.62,25500.0,"PAXTON, WARREN KENNETH JR.",C,Lean Democrat
