state,DEM,REP,leader,leader_name,gap_abs,gap_label,dem_share,state_name
AK,7563867.88,2531692.06,DEM,Democrat,5032175.82,$5.0 million,0.7492271775863479,Alaska
AL,297614.56,5138891.74,REP,Republican,4841277.180000001,$4.8 million,0.0547437165666487,Alabama
AR,1603611.87,2755530.02,REP,Republican,1151918.15,$1.2 million,0.36787329030943744,Arkansas
CO,5521942.19,316392.67,DEM,Democrat,5205549.5200000005,$5.2 million,0.9458077212789402,Colorado
DE,1541751.3,1679.71,DEM,Democrat,1540071.59,$1.5 million,0.9989117038668285,Delaware
FL,24461891.93,2757925.21,DEM,Democrat,21703966.72,$21.7 million,0.8986795100123145,Florida
GA,53243293.44,9364479.54,DEM,Democrat,43878813.9,$43.9 million,0.8504262475045794,Georgia
IA,7776496.52,5069989.01,DEM,Democrat,2706507.51,$2.7 million,0.6053403868193981,Iowa
ID,3938.63,23276.86,REP,Republican,19338.23,$0.0 million,0.1447201575279372,Idaho
IL,16865934.29,644770.23,DEM,Democrat,16221164.059999999,$16.2 million,0.9631785100785881,Illinois
KS,645941.12,1461071.57,REP,Republican,815130.4500000001,$0.8 million,0.30656726609463375,Kansas
KY,3663796.61,9006283.02,REP,Republican,5342486.41,$5.3 million,0.2891691857504135,Kentucky
LA,630808.24,4228445.42,REP,Republican,3597637.1799999997,$3.6 million,0.12981586970703646,Louisiana
MA,5708559.67,320775.19,DEM,Democrat,5387784.4799999995,$5.4 million,0.9467975825777902,Massachusetts
ME,17183976.09,5994565.11,DEM,Democrat,11189410.98,$11.2 million,0.741374357502706,Maine
MI,22775041.52,4567147.699999999,DEM,Democrat,18207893.82,$18.2 million,0.8329633496699208,Michigan
MN,7448834.95,3534913.7,DEM,Democrat,3913921.25,$3.9 million,0.6781687370458901,Minnesota
MS,1370124.07,1773651.9900000002,REP,Republican,403527.92000000016,$0.4 million,0.43582114115341913,Mississippi
MT,177945.64,1739231.4899999998,REP,Republican,1561285.8499999996,$1.6 million,0.09281648378519936,Montana
NC,11230498.6,6621930.55,DEM,Democrat,4608568.05,$4.6 million,0.6290739767478646,North Carolina
NE,0.0,1753452.32,REP,Republican,1753452.32,$1.8 million,0.0,Nebraska
NH,8957698.629999999,2460561.8899999997,DEM,Democrat,6497136.739999999,$6.5 million,0.7845064153432014,New Hampshire
NJ,12629918.79,12610.59,DEM,Democrat,12617308.2,$12.6 million,0.9990025263441389,New Jersey
NM,2412982.17,0.0,DEM,Democrat,2412982.17,$2.4 million,1.0,New Mexico
OH,26092474.86,4287474.31,DEM,Democrat,21805000.55,$21.8 million,0.8588715772364145,Ohio
OK,211405.22,1460624.71,REP,Republican,1249219.49,$1.2 million,0.12643626540823943,Oklahoma
OR,3072756.16,51802.5,DEM,Democrat,3020953.66,$3.0 million,0.9834208585477476,Oregon
RI,1646934.06,137896.07,DEM,Democrat,1509037.99,$1.5 million,0.9227399472464082,Rhode Island
SC,6608449.41,2118331.48,DEM,Democrat,4490117.93,$4.5 million,0.7572608380224841,South Carolina
SD,183243.08,1034288.51,REP,Republican,851045.43,$0.9 million,0.1505037581817487,South Dakota
TN,0.0,3021763.57,REP,Republican,3021763.57,$3.0 million,0.0,Tennessee
TX,52891138.839999996,11297586.780000001,DEM,Democrat,41593552.059999995,$41.6 million,0.8239942190645411,Texas
VA,7712432.72,212453.31,DEM,Democrat,7499979.41,$7.5 million,0.9731916258232928,Virginia
WV,521642.26999999996,2288405.1900000004,REP,Republican,1766762.9200000004,$1.8 million,0.18563468319499482,West Virginia
WY,9653.0,1401497.06,REP,Republican,1391844.06,$1.4 million,0.006840519852296927,Wyoming
