active_through,candidate_id,candidate_inactive,candidate_status,cycles,district,district_number,election_districts,election_years,federal_funds_flag,first_file_date,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,last_file_date,load_date,name,office,office_full,party,party_full,state
2026,S6ID00146,False,C,[2026],00,0.0,['00'],[2026],False,2025-06-27,True,,C,Challenger,2025-06-27,2025-06-27,2025-10-18T21:00:34,"ACHILLES, TODD BAKER",S,Senate,IND,INDEPENDENT,ID
2026,S6TX00578,False,N,[2026],00,0.0,['00'],[2026],False,2026-01-12,False,,C,Challenger,2026-01-12,2026-01-12,2026-01-13T21:02:51,"ADEFOPE, JOHN",S,Senate,REP,REPUBLICAN PARTY,TX
2026,S6MS00109,False,C,[2026],00,0.0,['00'],[2026],False,2025-03-28,True,,C,Challenger,2025-03-28,2025-03-28,2025-07-16T21:02:06,"ADLAKHA, SARAH ANNE DR",S,Senate,REP,REPUBLICAN PARTY,MS
2026,S6NC00365,False,N,[2026],00,0.0,['00'],[2026],False,2025-01-15,False,,O,Open seat,2025-01-15,2025-01-15,2025-06-30T20:58:43,"AGNEW, BROOKS ALEXANDER",S,Senate,REP,REPUBLICAN PARTY,NC
2026,S6LA00706,False,C,[2026],00,0.0,['00'],[2026],False,2026-04-20,True,,C,Challenger,2026-04-20,2026-04-20,2026-05-01T21:18:54,"ALBARES, NICHOLAS S.",S,Senate,DEM,DEMOCRATIC PARTY,LA
2026,S6ME00308,False,N,[2026],00,0.0,['00'],[2026],False,2025-02-20,False,,C,Challenger,2025-02-20,2025-02-20,2025-03-13T20:59:32,"ALCALA, NATASHA",S,Senate,DEM,DEMOCRATIC PARTY,ME
2026,S6ME00423,False,N,[2026],00,0.0,['00'],[2026],False,2026-03-05,False,,C,Challenger,2026-03-05,2026-03-05,2026-03-06T21:23:49,"ALCORN, ETHAN WELD MR",S,Senate,UN,UNAFFILIATED,ME
2026,S6TX00305,False,N,"[2024, 2026]",00,0.0,['00'],[2026],False,2024-08-12,True,,C,Challenger,2024-08-12,2024-08-12,2025-01-10T21:01:11,"ALLEN, KEITH",S,Senate,REP,REPUBLICAN PARTY,TX
2026,S4TX00722,False,C,"[2024, 2026]",00,0.0,"['00', '00']","[2024, 2026]",False,2023-05-03,True,,C,Challenger,2025-08-15,2025-08-15,2026-05-01T21:18:54,"ALLRED, COLIN",S,Senate,DEM,DEMOCRATIC PARTY,TX
2026,S6MT00295,False,C,[2026],00,0.0,['00'],[2026],False,2026-03-05,True,,O,Open seat,2026-03-05,2026-03-05,2026-04-18T21:13:41,"ALME, KURT",S,Senate,REP,REPUBLICAN PARTY,MT
2026,S6TX00370,False,N,[2026],00,0.0,['00'],[2026],False,2025-04-03,False,,C,Challenger,2025-04-03,2025-04-03,2025-04-25T21:00:17,"ALVAREZ, ANDREW",S,Senate,REP,REPUBLICAN PARTY,TX
2026,S6SC04239,False,C,[2026],00,0.0,['00'],[2026],False,2025-05-22,True,,C,Challenger,2025-05-22,2025-05-22,2025-07-15T21:00:48,"ANDREWS, ANNIE",S,Senate,DEM,DEMOCRATIC PARTY,SC
2026,S6IA00314,False,C,[2026],00,0.0,['00'],[2026],False,2025-09-06,True,,O,Open seat,2026-04-03,2026-04-03,2026-04-03T21:13:47,"ARENHOLZ, ASHLEY HINSON",S,Senate,REP,REPUBLICAN PARTY,IA
2026,S6LA00524,False,N,[2026],00,0.0,['00'],[2026],False,2025-01-27,False,,C,Challenger,2025-01-27,2025-01-27,2025-02-07T21:00:11,"ARRINGTON, RANDALL STEVEN PHD",S,Senate,REP,REPUBLICAN PARTY,LA
2026,S6LA00516,False,N,"[2024, 2026]",00,0.0,['00'],[2026],False,2024-12-17,False,,C,Challenger,2024-12-17,2024-12-17,2025-01-10T21:01:11,"ARRINGTON, RANDALL STEVEN PHD",S,Senate,REP,REPUBLICAN PARTY,LA
2026,S6AR00207,False,C,[2026],00,0.0,['00'],[2026],False,2025-09-15,True,,C,Challenger,2025-10-31,2025-10-31,2026-02-09T20:58:28,"ASHBY, MICAH",S,Senate,REP,REPUBLICAN PARTY,AR
2026,S6FL00749,False,C,[2026],00,0.0,['00'],[2026],False,2025-06-13,True,,C,Challenger,2025-06-13,2025-06-13,2025-10-18T21:00:34,"ATKINS, JOEY MENDOZA",S,Senate,DEM,DEMOCRATIC PARTY,FL
